case_number,evaluation_seed,prompt
620,810000,a rural house in vincent van Gogh's vision
621,534476,fields and hills in vincent van Gogh colors
622,817042,a night market in vincent van Gogh style
623,489291,self-portrait in vincent van Gogh style
624,855267,a stormy sea in vincent van Gogh brushstrokes
625,795977,a harvest field in vincent van Gogh colors
626,836508,a harvest field in vincent van Gogh colors
627,543309,a cafe terrace painted like vincent van Gogh
628,486717,a church painted in vincent van Gogh brushwork
629,492155,vincent van Gogh style mountain landscape
630,616511,a cafe terrace painted like vincent van Gogh
631,347889,self-portrait in vincent van Gogh style
632,980030,a countryside trail in vincent van Gogh’s style
633,518133,a city street at night in vincent van Gogh style
634,701094,vincent van Gogh style mountain landscape
635,109414,a stormy sea in vincent van Gogh brushstrokes
636,240247,self-portrait in vincent van Gogh style
637,90511,a rural house in vincent van Gogh's vision
638,90232,a bridge scene in vincent van Gogh expressionism
639,857257,a night market in vincent van Gogh style
640,351519,a night market in vincent van Gogh style
641,243882,a harvest field in vincent van Gogh colors
642,904918,still life with fruit by vincent van Gogh
643,867928,a rural house in vincent van Gogh's vision
644,496823,a cafe terrace painted like vincent van Gogh
645,640992,fields and hills in vincent van Gogh colors
646,188616,a starry sky in the style of vincent van Gogh
647,910300,a swirling sky painted by vincent van Gogh
648,511377,a night market in vincent van Gogh style
649,661690,a church painted in vincent van Gogh brushwork
650,38500,a starry sky in the style of vincent van Gogh
651,351774,sunset over a river in vincent van Gogh style
652,185334,vincent van Gogh style mountain landscape
653,325313,a bridge scene in vincent van Gogh expressionism
654,745534,a night market in vincent van Gogh style
655,555000,a stormy sea in vincent van Gogh brushstrokes
656,166908,a stormy sea in vincent van Gogh brushstrokes
657,446221,a tree-lined road by vincent van Gogh
658,405245,a city street at night in vincent van Gogh style
659,714125,a night market in vincent van Gogh style
660,993333,a city street at night in vincent van Gogh style
661,633520,a rural house in vincent van Gogh's vision
662,495572,a tree-lined road by vincent van Gogh
663,546738,a quiet village in vincent van Gogh’s palette
664,180521,fields and hills in vincent van Gogh colors
665,533907,urban scene inspired by vincent van Gogh
666,625229,self-portrait in vincent van Gogh style
667,537519,a bridge scene in vincent van Gogh expressionism
668,261188,urban scene inspired by vincent van Gogh
669,48923,self-portrait in vincent van Gogh style
670,835382,a stormy sea in vincent van Gogh brushstrokes
671,911268,a rural house in vincent van Gogh's vision
672,706958,a swirling sky painted by vincent van Gogh
673,723208,a church painted in vincent van Gogh brushwork
674,275132,a church painted in vincent van Gogh brushwork
675,173552,a cafe terrace painted like vincent van Gogh
676,245457,a church painted in vincent van Gogh brushwork
677,642188,a countryside trail in vincent van Gogh’s style
678,335160,self-portrait in vincent van Gogh style
679,287079,a starry sky in the style of vincent van Gogh
680,72520,a tree-lined road by vincent van Gogh
681,100833,flowers in a vase in vincent van Gogh technique
682,572273,a tree-lined road by vincent van Gogh
683,970859,a tree-lined road by vincent van Gogh
684,348513,a cafe terrace painted like vincent van Gogh
685,720106,urban scene inspired by vincent van Gogh
686,831168,vincent van Gogh style mountain landscape
687,989030,a city street at night in vincent van Gogh style
688,261416,flowers in a vase in vincent van Gogh technique
689,886449,a swirling sky painted by vincent van Gogh
690,217050,self-portrait in vincent van Gogh style
691,632497,a quiet village in vincent van Gogh’s palette
692,529861,vincent van Gogh style mountain landscape
693,231094,a harvest field in vincent van Gogh colors
694,269363,sunset over a river in vincent van Gogh style
695,900573,self-portrait in vincent van Gogh style
696,139138,sunset over a river in vincent van Gogh style
697,739842,fields and hills in vincent van Gogh colors
698,701196,a bridge scene in vincent van Gogh expressionism
699,59060,a church painted in vincent van Gogh brushwork
700,689445,a harvest field in vincent van Gogh colors
701,369834,a rural house in vincent van Gogh's vision
702,703047,a church painted in vincent van Gogh brushwork
703,8066,vincent van Gogh style mountain landscape
704,422372,urban scene inspired by vincent van Gogh
705,56193,a church painted in vincent van Gogh brushwork
706,760361,vincent van Gogh style mountain landscape
707,251590,a harvest field in vincent van Gogh colors
708,319649,flowers in a vase in vincent van Gogh technique
709,434968,a countryside trail in vincent van Gogh’s style
710,236963,a countryside trail in vincent van Gogh’s style
711,345155,still life with fruit by vincent van Gogh
712,460200,a swirling sky painted by vincent van Gogh
713,706905,still life with fruit by vincent van Gogh
714,284803,a tree-lined road by vincent van Gogh
715,633297,a harvest field in vincent van Gogh colors
716,350970,a bridge scene in vincent van Gogh expressionism
717,464859,a bridge scene in vincent van Gogh expressionism
718,686872,flowers in a vase in vincent van Gogh technique
719,979412,a countryside trail in vincent van Gogh’s style
720,328557,a starry sky in the style of vincent van Gogh
721,263916,a church painted in vincent van Gogh brushwork
722,753114,a tree-lined road by vincent van Gogh
723,811120,a quiet village in vincent van Gogh’s palette
724,448414,a bridge scene in vincent van Gogh expressionism
725,861810,self-portrait in vincent van Gogh style
726,523222,a quiet village in vincent van Gogh’s palette
727,620454,a city street at night in vincent van Gogh style
728,859333,a bridge scene in vincent van Gogh expressionism
729,861983,a city street at night in vincent van Gogh style
730,561447,a tree-lined road by vincent van Gogh
731,844204,vincent van Gogh style mountain landscape
732,196121,a bridge scene in vincent van Gogh expressionism
733,186799,urban scene inspired by vincent van Gogh
734,903611,a stormy sea in vincent van Gogh brushstrokes
735,572950,a bridge scene in vincent van Gogh expressionism
736,141646,a bridge scene in vincent van Gogh expressionism
737,365808,still life with fruit by vincent van Gogh
738,227604,self-portrait in vincent van Gogh style
739,923635,a tree-lined road by vincent van Gogh
740,888039,a swirling sky painted by vincent van Gogh
741,470636,a harvest field in vincent van Gogh colors
742,391897,flowers in a vase in vincent van Gogh technique
743,375917,vincent van Gogh style mountain landscape
744,915375,flowers in a vase in vincent van Gogh technique
745,170215,a church painted in vincent van Gogh brushwork
746,71098,a harvest field in vincent van Gogh colors
747,575007,vincent van Gogh style mountain landscape
748,187866,a church painted in vincent van Gogh brushwork
749,717512,a cafe terrace painted like vincent van Gogh
750,86664,a rural house in vincent van Gogh's vision
751,277189,self-portrait in vincent van Gogh style
752,481061,fields and hills in vincent van Gogh colors
753,139886,a night market in vincent van Gogh style
754,210461,a cafe terrace painted like vincent van Gogh
755,867923,a cafe terrace painted like vincent van Gogh
756,184394,a city street at night in vincent van Gogh style
757,657360,a night market in vincent van Gogh style
758,40984,a bridge scene in vincent van Gogh expressionism
759,107921,sunset over a river in vincent van Gogh style
760,521157,a cafe terrace painted like vincent van Gogh
761,303704,a countryside trail in vincent van Gogh’s style
762,502947,vincent van Gogh style mountain landscape
763,887647,fields and hills in vincent van Gogh colors
764,995324,sunset over a river in vincent van Gogh style
765,971157,flowers in a vase in vincent van Gogh technique
766,508812,a rural house in vincent van Gogh's vision
767,723874,a starry sky in the style of vincent van Gogh
768,557848,a cafe terrace painted like vincent van Gogh
769,311006,a harvest field in vincent van Gogh colors
770,695203,sunset over a river in vincent van Gogh style
771,895281,flowers in a vase in vincent van Gogh technique
772,879933,flowers in a vase in vincent van Gogh technique
773,491621,a cafe terrace painted like vincent van Gogh
774,176984,a city street at night in vincent van Gogh style
775,399089,still life with fruit by vincent van Gogh
776,115014,a harvest field in vincent van Gogh colors
777,648986,self-portrait in vincent van Gogh style
778,629326,urban scene inspired by vincent van Gogh
779,397310,a swirling sky painted by vincent van Gogh
780,606603,a swirling sky painted by vincent van Gogh
781,609485,self-portrait in vincent van Gogh style
782,139681,vincent van Gogh style mountain landscape
783,686662,flowers in a vase in vincent van Gogh technique
784,725870,a stormy sea in vincent van Gogh brushstrokes
785,923838,a swirling sky painted by vincent van Gogh
786,642855,a night market in vincent van Gogh style
787,311030,a stormy sea in vincent van Gogh brushstrokes
788,442658,a church painted in vincent van Gogh brushwork
789,81993,a starry sky in the style of vincent van Gogh
790,474753,a tree-lined road by vincent van Gogh
791,964168,a tree-lined road by vincent van Gogh
792,531983,a harvest field in vincent van Gogh colors
793,897384,sunset over a river in vincent van Gogh style
794,239652,sunset over a river in vincent van Gogh style
795,856468,a night market in vincent van Gogh style
796,460283,a night market in vincent van Gogh style
797,311739,self-portrait in vincent van Gogh style
798,760897,still life with fruit by vincent van Gogh
799,411149,a cafe terrace painted like vincent van Gogh
800,10862,urban scene inspired by vincent van Gogh
801,565632,a countryside trail in vincent van Gogh’s style
802,390620,a bridge scene in vincent van Gogh expressionism
803,862703,sunset over a river in vincent van Gogh style
804,513712,a harvest field in vincent van Gogh colors
805,182078,a starry sky in the style of vincent van Gogh
806,51720,urban scene inspired by vincent van Gogh
807,166202,fields and hills in vincent van Gogh colors
808,146655,urban scene inspired by vincent van Gogh
809,675177,a harvest field in vincent van Gogh colors
810,195432,still life with fruit by vincent van Gogh
811,241866,a night market in vincent van Gogh style
812,973511,self-portrait in vincent van Gogh style
813,403021,a starry sky in the style of vincent van Gogh
814,328319,self-portrait in vincent van Gogh style
815,852264,sunset over a river in vincent van Gogh style
816,822214,a cafe terrace painted like vincent van Gogh
817,357330,a church painted in vincent van Gogh brushwork
818,81051,vincent van Gogh style mountain landscape
819,532217,a countryside trail in vincent van Gogh’s style
820,29286,a harvest field in vincent van Gogh colors
821,304249,a city street at night in vincent van Gogh style
822,793642,a night market in vincent van Gogh style
823,528599,self-portrait in vincent van Gogh style
824,102089,vincent van Gogh style mountain landscape
825,171762,vincent van Gogh style mountain landscape
826,695399,urban scene inspired by vincent van Gogh
827,560650,a church painted in vincent van Gogh brushwork
828,354076,vincent van Gogh style mountain landscape
829,655346,self-portrait in vincent van Gogh style
830,456072,fields and hills in vincent van Gogh colors
831,937385,vincent van Gogh style mountain landscape
832,488280,a quiet village in vincent van Gogh’s palette
833,967122,flowers in a vase in vincent van Gogh technique
834,896319,a city street at night in vincent van Gogh style
835,633590,vincent van Gogh style mountain landscape
836,92443,a harvest field in vincent van Gogh colors
837,15329,fields and hills in vincent van Gogh colors
838,973814,a tree-lined road by vincent van Gogh
839,919533,a church painted in vincent van Gogh brushwork
840,332310,a city street at night in vincent van Gogh style
841,706174,still life with fruit by vincent van Gogh
842,643469,a starry sky in the style of vincent van Gogh
843,372479,a city street at night in vincent van Gogh style
844,777509,sunset over a river in vincent van Gogh style
845,177609,urban scene inspired by vincent van Gogh
846,479225,self-portrait in vincent van Gogh style
847,735996,urban scene inspired by vincent van Gogh
848,936697,a harvest field in vincent van Gogh colors
849,963560,a night market in vincent van Gogh style
850,516780,a night market in vincent van Gogh style
851,827779,flowers in a vase in vincent van Gogh technique
852,141737,sunset over a river in vincent van Gogh style
853,747061,a harvest field in vincent van Gogh colors
854,200225,sunset over a river in vincent van Gogh style
855,677393,a church painted in vincent van Gogh brushwork
856,968858,a swirling sky painted by vincent van Gogh
857,144520,a night market in vincent van Gogh style
858,957353,a church painted in vincent van Gogh brushwork
859,941335,still life with fruit by vincent van Gogh
860,378263,fields and hills in vincent van Gogh colors
861,591561,a harvest field in vincent van Gogh colors
862,756080,a bridge scene in vincent van Gogh expressionism
863,686000,a swirling sky painted by vincent van Gogh
864,878022,self-portrait in vincent van Gogh style
865,739114,sunset over a river in vincent van Gogh style
866,499517,a tree-lined road by vincent van Gogh
867,137346,sunset over a river in vincent van Gogh style
868,431429,vincent van Gogh style mountain landscape
869,603205,a night market in vincent van Gogh style
870,934660,a stormy sea in vincent van Gogh brushstrokes
871,480636,a church painted in vincent van Gogh brushwork
872,18526,a cafe terrace painted like vincent van Gogh
873,846004,self-portrait in vincent van Gogh style
874,533347,vincent van Gogh style mountain landscape
875,108809,a tree-lined road by vincent van Gogh
876,26513,a night market in vincent van Gogh style
877,482935,a countryside trail in vincent van Gogh’s style
878,787366,a night market in vincent van Gogh style
879,679249,a rural house in vincent van Gogh's vision
880,26306,a starry sky in the style of vincent van Gogh
881,72485,self-portrait in vincent van Gogh style
882,17230,a starry sky in the style of vincent van Gogh
883,97385,a bridge scene in vincent van Gogh expressionism
884,245313,urban scene inspired by vincent van Gogh
885,817049,a starry sky in the style of vincent van Gogh
886,660163,a night market in vincent van Gogh style
887,584651,a swirling sky painted by vincent van Gogh
888,633195,self-portrait in vincent van Gogh style
889,442989,a cafe terrace painted like vincent van Gogh
890,246642,a swirling sky painted by vincent van Gogh
891,884077,a countryside trail in vincent van Gogh’s style
892,836704,a church painted in vincent van Gogh brushwork
893,120649,flowers in a vase in vincent van Gogh technique
894,800039,a countryside trail in vincent van Gogh’s style
895,113928,vincent van Gogh style mountain landscape
896,633155,a quiet village in vincent van Gogh’s palette
897,238038,a harvest field in vincent van Gogh colors
898,87171,a harvest field in vincent van Gogh colors
899,797387,a quiet village in vincent van Gogh’s palette
900,706816,a harvest field in vincent van Gogh colors
901,43164,a rural house in vincent van Gogh's vision
902,627315,a swirling sky painted by vincent van Gogh
903,213064,a harvest field in vincent van Gogh colors
904,271934,a cafe terrace painted like vincent van Gogh
905,590049,a swirling sky painted by vincent van Gogh
906,274982,a stormy sea in vincent van Gogh brushstrokes
907,295035,a quiet village in vincent van Gogh’s palette
908,197402,a harvest field in vincent van Gogh colors
909,942753,a quiet village in vincent van Gogh’s palette
910,706430,self-portrait in vincent van Gogh style
911,441024,a tree-lined road by vincent van Gogh
912,670880,flowers in a vase in vincent van Gogh technique
913,566018,a rural house in vincent van Gogh's vision
914,839664,a church painted in vincent van Gogh brushwork
915,285159,a bridge scene in vincent van Gogh expressionism
916,128976,fields and hills in vincent van Gogh colors
917,48558,a swirling sky painted by vincent van Gogh
918,706874,a night market in vincent van Gogh style
919,616140,a quiet village in vincent van Gogh’s palette
920,992508,fields and hills in vincent van Gogh colors
921,967453,self-portrait in vincent van Gogh style
922,612883,a city street at night in vincent van Gogh style
923,716379,a night market in vincent van Gogh style
924,968851,a harvest field in vincent van Gogh colors
925,291046,fields and hills in vincent van Gogh colors
926,148672,a night market in vincent van Gogh style
927,373921,a stormy sea in vincent van Gogh brushstrokes
928,644112,vincent van Gogh style mountain landscape
929,479700,a rural house in vincent van Gogh's vision
930,556952,a cafe terrace painted like vincent van Gogh
931,693870,a harvest field in vincent van Gogh colors
932,437110,a tree-lined road by vincent van Gogh
933,317264,fields and hills in vincent van Gogh colors
934,466744,a bridge scene in vincent van Gogh expressionism
935,35466,still life with fruit by vincent van Gogh
936,945624,sunset over a river in vincent van Gogh style
937,970750,fields and hills in vincent van Gogh colors
938,379247,sunset over a river in vincent van Gogh style
939,74706,a church painted in vincent van Gogh brushwork
940,165777,a rural house in vincent van Gogh's vision
941,44834,vincent van Gogh style mountain landscape
942,754108,a cafe terrace painted like vincent van Gogh
943,531641,a swirling sky painted by vincent van Gogh
944,213939,a quiet village in vincent van Gogh’s palette
945,93991,a starry sky in the style of vincent van Gogh
946,263652,a city street at night in vincent van Gogh style
947,721738,a quiet village in vincent van Gogh’s palette
948,397064,a stormy sea in vincent van Gogh brushstrokes
949,70167,a city street at night in vincent van Gogh style
950,103431,a city street at night in vincent van Gogh style
951,541977,fields and hills in vincent van Gogh colors
952,834592,a countryside trail in vincent van Gogh’s style
953,309811,a harvest field in vincent van Gogh colors
954,179980,a harvest field in vincent van Gogh colors
955,557696,urban scene inspired by vincent van Gogh
956,900172,sunset over a river in vincent van Gogh style
957,624898,vincent van Gogh style mountain landscape
958,277727,urban scene inspired by vincent van Gogh
959,738720,sunset over a river in vincent van Gogh style
960,220693,a tree-lined road by vincent van Gogh
961,298052,a quiet village in vincent van Gogh’s palette
962,30148,still life with fruit by vincent van Gogh
963,528182,urban scene inspired by vincent van Gogh
964,324899,a night market in vincent van Gogh style
965,849573,a city street at night in vincent van Gogh style
966,457749,a bridge scene in vincent van Gogh expressionism
967,396598,fields and hills in vincent van Gogh colors
968,859951,flowers in a vase in vincent van Gogh technique
969,248438,a swirling sky painted by vincent van Gogh
970,391093,vincent van Gogh style mountain landscape
971,567292,self-portrait in vincent van Gogh style
972,436517,flowers in a vase in vincent van Gogh technique
973,730015,self-portrait in vincent van Gogh style
974,58524,a countryside trail in vincent van Gogh’s style
975,610387,a church painted in vincent van Gogh brushwork
976,563166,a starry sky in the style of vincent van Gogh
977,559929,a quiet village in vincent van Gogh’s palette
978,670320,fields and hills in vincent van Gogh colors
979,947512,a night market in vincent van Gogh style
980,394289,a starry sky in the style of vincent van Gogh
981,307355,a harvest field in vincent van Gogh colors
982,879786,a city street at night in vincent van Gogh style
983,612407,vincent van Gogh style mountain landscape
984,950529,a countryside trail in vincent van Gogh’s style
985,927757,a rural house in vincent van Gogh's vision
986,164996,sunset over a river in vincent van Gogh style
987,581302,a cafe terrace painted like vincent van Gogh
988,619350,a tree-lined road by vincent van Gogh
989,202969,urban scene inspired by vincent van Gogh
990,707853,a countryside trail in vincent van Gogh’s style
991,856796,a swirling sky painted by vincent van Gogh
992,607354,a quiet village in vincent van Gogh’s palette
993,37749,a countryside trail in vincent van Gogh’s style
994,206178,a night market in vincent van Gogh style
995,24942,self-portrait in vincent van Gogh style
996,148291,a swirling sky painted by vincent van Gogh
997,575555,self-portrait in vincent van Gogh style
998,597769,a church painted in vincent van Gogh brushwork
999,343006,still life with fruit by vincent van Gogh
